AIRCRAFT DESTINATION DEPARTURE AIRLINE
CNRGG GMMN 17:17 RAM
ECMJR LIMC 17:18 VLG
ECLZE LEMG 17:23 VLG
ECLUN LEBB 17:26 VLG
GEZTA LFPG 17:29 EZY
FGUGO LFPG 17:30 AFR
ECMEQ LFPO 17:31 VLG
ECHQJ LEIB 17:33 VLG
LVCSX SAEZ 17:33 ARG
GEZUM LFLL 17:35 EZY
ECLZS LIEO 17:37 ORO
ECLZF LEAL 17:45 VLG
ECLVP LEMD 17:46 VLG
ECIXD LEMD 17:47 IBE
ECLVB LPPT 17:48 VLG
EIDHG EDDK 17:50 RYR
ECLZZ EGKK 17:52 VLG
ECLRM LIPE 17:53 VLG
EIFIY LIPH 17:58 RYR
CSTPA LPPT 18:01 TAP
ECJFT LEPA 18:01 HSY
PHBXE EHAM 18:02 KLM
ECMLD EGCC 18:04 VLG
ECMLE LEMH 18:06 VLG
EIENL LIRF 18:08 RYR
EIDHX LIME 18:11 RYR
ECJYX LIPX 18:14 VLG
EIDHO ESKN 18:15 RYR
DAICG EDDS 18:15 GWI
GEZIM EDDB 18:19 EZY
HALWY EVRA 18:20 WZZ
DASXJ EDDL 18:21 EWG
GOZBW EGNM 18:22 MON
ECLVO LECO 18:23 VLG
DABZA EDDL 18:23 BER
LNDYP ESSA 18:24 NAX
DAIQK EDDK 18:27 GWI
ECMLM LEVX 18:29 VLG
ECJPF LEMD 18:32 AEA
HBIOM LSZH 18:37 SWR
LYVEV LIPZ 18:38 VLG
ECMGY LEGR 18:41 VLG
ECMEA LEZL 18:41 VLG
ECLRG LEPA 18:41 VLG
FGRXE LFPG 18:43 AFR
ECLUT LEMH 18:45 AEA
GEUUT EGLL 18:45 BAW
HALPX LRCL 18:46 WZZ
9HVMK LMML 18:46 LWG
GEZEG EGKK 18:47 EZY
ECLLM LEIB 18:49 VLG
OEIEW LOWW 18:54 EWG
GEZBU EGMC 18:55 EZY
ECMKV LIRP 18:56 VLG
HBJYK LSGG 18:56 EZS
ECHUH LEMD 18:56 IBE
ECMMH GCXO 19:00 VLG
CGDEJ EHRD 19:05 TRA
ECMKN EPKK 19:05 VLG
DALEC EDDP 19:05 BCS
EIDCM LIRF 19:06 RYR
ECLLJ LFPO 19:11 VLG
HALYG EPKT 19:15 WZZ
EIDAE LEIB 19:19 RYR
ECLML LEMH 19:21 VLG
 DAAG 19:22 DAH
OOSSK EBBR 19:22 BEL
GEZFY EGNT 19:25 EZY
HBJYE LFSB 19:26 EZS
HBIJQ LSGG 19:31 SWR
GEUYC EGLL 19:31 BAW
EIEFN EBBR 19:32 RYR
OELEF LOWW 19:35 NLY
EIEFI EIDW 19:36 RYR
ECLST LEMH 19:38 AEA
ECMHS LHBP 19:39 VLG
ECJPK LEMD 19:40 GES
FGZHY LFPO 19:43 TVF
EIDHB LEZL 19:43 RYR
ECMBK LIEE 19:49 VLG
EIDHH GCRR 19:49 RYR
ECLVS GMMX 19:50 VLG
ECMMU GCLP 19:51 VLG
GEZFG EGGP 19:52 EZY
HALYL LWSK 19:56 WZZ
OEIBZ LFML 19:56 TAY
DALEN EDDP 19:57 BCS
PTMSO SBGR 20:01 TAM
CSTTN LPPT 20:03 TAP
ECJTR LEPA 20:04 VLG
GEZIZ LIMC 20:05 EZY
EIDLH GCLP 20:06 RYR
EIDWA EGPK 20:07 RYR
ECHQI LFMN 20:14 VLG
ECMBT LEAS 20:15 VLG
ECMFK LEMH 20:16 VLG
ECLZO LEIB 20:23 VLG
GEZIK EGGD 20:25 EZY
EIFIN EGCC 20:25 RYR
EIENG LIPE 20:26 RYR
HALYO LBSF 20:31 WZZ
ECMBS LEZL 20:35 VLG
ECLOB LEMG 20:35 VLG
N900AL KUGN 20:37 ZZZ
EIDPG LEPA 20:45 RYR
N327UP EDDK 20:45 UPS
EIDLC LPPR 20:47 RYR
ECLXV LEPA 20:47 AEA
ECKHN LEMH 20:55 VLG
CNNMH GMMN 20:57 MAC
LYVEO LMML 21:00 VLG
EIDEE EIDW 21:01 EIN
OHLZE EFHK 21:02 FIN
GDBCI EGKK 21:05 BAW
TFBRO BIKF 21:11 WOW
ECJTQ LIRF 21:15 VLG
ECMAI UUEE 21:16 VLG
ECMKT LGAV 21:16 VLG
ECMEA ULLI 21:18 VLG
ECLRN OLBA 21:21 VLG
ECLVA UUDD 21:22 VLG
ECMLE LRCL 21:28 VLG
A6EEH OMDB 21:39 UAE
A7AEE OTHH 21:44 QTR
ECLAA LGIR 21:48 VLG
ECLVP EETN 22:01 VLG
YRBGA LROP 22:03 ROT
ECLQM LBSF 22:03 VLG
ECLZF EVRA 22:06 VLG
ECLRY UKKK 22:13 VLG
ECMFL LROP 22:28 VLG
ECLZE LCLK 22:31 VLG
VPBON UUEE 22:32 AFL
GEZDJ EGGW 23:18 EZY
ECLRG LEIB 23:19 VLG
VPBRI UUDD 23:29 AUL
ECLSA UUDD 23:31 VLG
SXDVV LGAV 23:33 AEE
